energy,barns
1.40E-05,53.989
1.41E-05,56.8341
1.41E-05,60.0117
1.41E-05,63.5828
1.41E-05,67.6232
1.41E-05,71.0176
1.41E-05,74.7771
1.41E-05,77.5139
1.41E-05,82.3311
1.41E-05,87.7671
1.41E-05,92.3125
1.41E-05,97.3135
1.41E-05,103.211
1.42E-05,110.627
1.42E-05,118.971
1.42E-05,127.255
1.42E-05,135.831
1.42E-05,145.249
1.42E-05,155.556
1.42E-05,166.786
1.42E-05,178.959
1.42E-05,192.067
1.42E-05,210.935
1.42E-05,231.223
1.42E-05,262.508
1.43E-05,314.2
1.43E-05,334.685
1.43E-05,353.061
1.43E-05,364.937
1.43E-05,374.788
1.43E-05,382.297
1.43E-05,387.192
1.43E-05,389.204
1.43E-05,389.327
1.43E-05,388.036
1.43E-05,385.179
1.43E-05,379.429
1.43E-05,372.11
1.43E-05,360.76
1.43E-05,348.401
1.44E-05,334.799
1.44E-05,314.893
1.44E-05,293.784
1.44E-05,261.108
1.44E-05,205.691
1.44E-05,184.516
1.44E-05,168.74
1.44E-05,152.635
1.44E-05,137.635
1.44E-05,127.802
1.44E-05,118.132
1.44E-05,109.185
1.44E-05,100.977
1.44E-05,93.5183
1.44E-05,88.4191
1.44E-05,83.7447
1.45E-05,79.494
1.45E-05,75.6654
1.45E-05,72.3638
1.45E-05,69.6409
1.45E-05,67.2545
1.45E-05,65.2029
1.45E-05,63.4849
1.45E-05,62.0994
1.45E-05,61.1467
1.45E-05,60.2468
1.45E-05,59.892
1.45E-05,59.8658
1.45E-05,60.0651
1.45E-05,60.6852
1.45E-05,61.7328
1.45E-05,62.6725
1.45E-05,64.2935
1.45E-05,66.2975
1.45E-05,68.6945
1.45E-05,71.4954
1.45E-05,74.7127
1.45E-05,78.3598
1.45E-05,82.4514
1.45E-05,87.003
1.45E-05,93.1352
1.45E-05,99.9921
1.45E-05,107.605
1.45E-05,116.007
1.45E-05,125.228
1.45E-05,133.384
1.45E-05,143.788
1.46E-05,155.034
1.46E-05,167.144
1.46E-05,179.466
1.46E-05,198.373
1.46E-05,218.937
1.46E-05,242.875
1.46E-05,269.625
1.46E-05,298.324
1.46E-05,328.857
1.46E-05,372.119
1.46E-05,429.505
1.46E-05,573.169
1.46E-05,634.892
1.46E-05,672.966
1.46E-05,707.58
1.47E-05,735.583
1.47E-05,757.46
1.47E-05,778.183
1.47E-05,791.502
1.47E-05,801.775
1.47E-05,805.647
1.47E-05,805.676
1.47E-05,802.442
1.47E-05,796.228
1.47E-05,784.327
1.47E-05,765.718
1.47E-05,739.255
1.47E-05,707.629
1.47E-05,671.899
1.47E-05,608.221
1.48E-05,475.9
1.48E-05,424.262
1.48E-05,389.829
1.48E-05,357.624
1.48E-05,327.835
1.48E-05,300.552
1.48E-05,283.764
1.48E-05,266.405
1.48E-05,250.374
1.48E-05,235.62
1.48E-05,222.085
1.48E-05,209.7
1.48E-05,198.393
1.48E-05,188.09
1.48E-05,178.714
1.49E-05,169.385
1.49E-05,160.993
1.49E-05,153.448
1.49E-05,146.664
1.49E-05,140.563
1.49E-05,135.072
1.49E-05,127.838
1.49E-05,121.987
1.49E-05,117.066
1.49E-05,112.767
1.49E-05,107.855
1.49E-05,103.727
1.49E-05,100.248
1.49E-05,97.3128
1.50E-05,94.8375
1.50E-05,91.8441
1.50E-05,89.5641
1.50E-05,87.8698
1.50E-05,86.6649
1.50E-05,85.6947
1.51E-05,85.3445
1.51E-05,85.327
1.51E-05,85.7185
1.51E-05,86.6857
1.51E-05,88.1319
1.52E-05,89.975
1.52E-05,93.7253
1.53E-05,105.893
1.53E-05,108.724
1.54E-05,110.643
1.54E-05,112.297
1.54E-05,113.022
1.54E-05,113.207
1.55E-05,112.693
1.55E-05,111.331
1.55E-05,109.043
1.56E-05,105.682
1.56E-05,101.513
1.56E-05,97.3782
1.56E-05,91.8144
1.58E-05,71.5129
1.58E-05,64.5677
1.58E-05,59.6986
1.59E-05,55.1586
1.59E-05,50.961
1.59E-05,47.1053
1.59E-05,43.5809
1.60E-05,40.371
1.60E-05,37.455
1.60E-05,34.8105
1.61E-05,32.415
1.61E-05,30.2461
1.61E-05,28.2829
1.62E-05,26.5058
1.62E-05,24.8968
1.62E-05,23.4396
1.62E-05,22.1193
1.63E-05,20.9229
1.63E-05,19.8385
1.63E-05,18.8557
1.64E-05,17.965
1.64E-05,17.1584
1.64E-05,16.4287
1.65E-05,15.5643
1.65E-05,14.8124
1.65E-05,14.1625
1.66E-05,13.606
1.66E-05,13.136
1.67E-05,12.7476
1.67E-05,12.4371
1.67E-05,12.2027
1.68E-05,12.0444
1.68E-05,11.9638
1.68E-05,11.9538
1.69E-05,11.9979
1.69E-05,12.091
1.69E-05,12.2408
1.70E-05,12.4533
1.70E-05,12.7365
1.70E-05,13.1006
1.71E-05,13.5588
1.71E-05,14.1284
1.71E-05,14.5809
1.71E-05,15.1013
1.71E-05,15.6998
1.72E-05,16.3111
1.72E-05,16.9185
1.72E-05,17.5998
1.72E-05,18.3658
1.72E-05,19.2297
1.72E-05,20.2077
1.73E-05,21.3195
1.73E-05,22.5897
1.73E-05,23.8889
1.73E-05,25.188
1.73E-05,26.6525
1.73E-05,28.3124
1.73E-05,29.708
1.73E-05,31.2543
1.74E-05,32.975
1.74E-05,34.899
1.74E-05,37.0618
1.74E-05,39.5072
1.74E-05,41.6739
1.74E-05,44.0829
1.74E-05,46.7727
1.74E-05,49.7889
1.74E-05,53.1859
1.74E-05,56.0215
1.74E-05,59.138
1.74E-05,62.5702
1.74E-05,66.3569
1.74E-05,70.2936
1.75E-05,74.6246
1.75E-05,79.3935
1.75E-05,84.6475
1.75E-05,90.4376
1.75E-05,96.8176
1.75E-05,103.844
1.75E-05,111.576
1.75E-05,118.497
1.75E-05,125.969
1.75E-05,134.023
1.75E-05,142.693
1.75E-05,155.261
1.75E-05,169.043
1.75E-05,184.093
1.75E-05,200.453
1.75E-05,218.146
1.75E-05,237.174
1.75E-05,257.51
1.76E-05,286.567
1.76E-05,317.634
1.76E-05,358.78
1.76E-05,470.732
1.76E-05,519.817
1.76E-05,549.667
1.76E-05,576.226
1.76E-05,598.697
1.76E-05,614.047
1.76E-05,623.823
1.76E-05,631.965
1.77E-05,635.54
1.77E-05,636.148
1.77E-05,634.315
1.77E-05,629.086
1.77E-05,620.548
1.77E-05,610.587
1.77E-05,595.269
1.77E-05,574.363
1.77E-05,547.181
1.77E-05,516.61
1.77E-05,466.266
1.77E-05,342.421
1.78E-05,300.439
1.78E-05,268.848
1.78E-05,246.54
1.78E-05,225.529
1.78E-05,205.873
1.78E-05,187.604
1.78E-05,170.725
1.78E-05,155.214
1.78E-05,141.031
1.78E-05,132.287
1.78E-05,120.959
1.78E-05,112.058
1.78E-05,103.861
1.78E-05,96.3258
1.78E-05,89.4104
1.78E-05,83.0724
1.78E-05,77.0389
1.78E-05,71.5402
1.78E-05,66.5318
1.79E-05,61.9713
1.79E-05,57.819
1.79E-05,54.0373
1.79E-05,50.5914
1.79E-05,47.4494
1.79E-05,44.4448
1.79E-05,41.7116
1.79E-05,39.2215
1.79E-05,36.9492
1.79E-05,34.8719
1.79E-05,32.9694
1.79E-05,31.7891
1.79E-05,29.618
1.79E-05,27.6711
1.79E-05,25.9191
1.79E-05,24.5531
1.79E-05,23.2979
1.79E-05,21.7764
1.80E-05,20.4068
1.80E-05,19.1691
1.80E-05,18.0461
1.80E-05,17.0238
1.80E-05,16.0901
1.80E-05,15.1329
1.80E-05,14.1705
1.80E-05,13.3012
1.80E-05,12.513
1.80E-05,11.796
1.80E-05,11.1417
1.80E-05,10.5429
1.81E-05,9.99343
1.81E-05,9.43968
1.81E-05,8.88921
1.81E-05,8.38813
1.81E-05,7.9307
1.81E-05,7.51196
1.81E-05,7.12768
1.81E-05,6.77417
1.82E-05,6.29474
1.82E-05,5.87953
1.82E-05,5.50752
1.82E-05,5.17294
1.82E-05,4.87097
1.82E-05,4.59752
1.83E-05,4.34915
1.83E-05,4.12289
1.83E-05,3.91622
1.83E-05,3.67582
1.83E-05,3.4603
1.84E-05,3.2664
1.84E-05,3.09134
1.84E-05,2.93279
1.84E-05,2.78877
1.84E-05,2.65757
1.85E-05,2.49508
1.85E-05,2.3752
1.85E-05,2.23225
1.86E-05,2.10592
1.86E-05,1.99374
1.86E-05,1.89366
1.87E-05,1.80401
1.87E-05,1.7234
1.87E-05,1.6507
1.88E-05,1.58407
1.88E-05,1.49571
1.89E-05,1.41916
1.89E-05,1.3525
1.90E-05,1.29421
1.90E-05,1.24283
1.91E-05,1.19723
1.91E-05,1.14477
1.92E-05,1.10042
1.93E-05,1.06298
1.93E-05,1.03097
1.94E-05,1.00404
1.95E-05,0.981615
1.96E-05,0.955347
1.97E-05,0.937093
1.98E-05,0.926439
1.99E-05,0.922976
2.00E-05,0.925792
2.01E-05,0.936285
2.01E-05,0.947829
2.02E-05,0.96361
2.03E-05,0.98391
2.03E-05,1.00925
2.04E-05,1.04037
2.05E-05,1.07878
2.06E-05,1.12518
2.06E-05,1.16607
2.07E-05,1.21303
2.07E-05,1.26724
2.08E-05,1.33019
2.08E-05,1.40273
2.09E-05,1.48657
2.09E-05,1.54982
2.10E-05,1.61982
2.10E-05,1.69745
2.10E-05,1.77849
2.11E-05,1.86813
2.11E-05,1.96748
2.11E-05,2.07785
2.12E-05,2.20077
2.12E-05,2.33805
2.12E-05,2.49182
2.13E-05,2.66461
2.13E-05,2.79466
2.13E-05,2.93604
2.13E-05,3.09
2.14E-05,3.25797
2.14E-05,3.44162
2.14E-05,3.64281
2.14E-05,3.86375
2.15E-05,4.10697
2.15E-05,4.33543
2.15E-05,4.5846
2.15E-05,4.85696
2.15E-05,5.15536
2.16E-05,5.48308
2.16E-05,5.84391
2.16E-05,6.24228
2.16E-05,6.68341
2.16E-05,7.0376
2.17E-05,7.42089
2.17E-05,7.83646
2.17E-05,8.28797
2.17E-05,8.77961
2.17E-05,9.31615
2.17E-05,9.90313
2.17E-05,10.5469
2.18E-05,11.1212
2.18E-05,11.7431
2.18E-05,12.4181
2.18E-05,13.1523
2.18E-05,13.9529
2.18E-05,14.8279
2.18E-05,15.7869
2.18E-05,16.841
2.18E-05,17.7349
2.19E-05,18.7012
2.19E-05,19.748
2.19E-05,20.8847
2.19E-05,22.1221
2.19E-05,23.4724
2.19E-05,24.9502
2.19E-05,26.5724
2.19E-05,28.0927
2.19E-05,29.7482
2.19E-05,31.5558
2.19E-05,33.5349
2.20E-05,35.7083
2.20E-05,38.1024
2.20E-05,40.748
2.20E-05,43.6811
2.20E-05,46.1505
2.20E-05,48.8349
2.20E-05,51.7587
2.20E-05,54.9489
2.20E-05,58.4358
2.20E-05,62.2533
2.20E-05,66.4385
2.20E-05,71.0328
2.20E-05,75.9666
2.20E-05,81.3814
2.20E-05,87.3272
2.21E-05,93.8574
2.21E-05,101.029
2.21E-05,107.088
2.21E-05,114.57
2.21E-05,122.689
2.21E-05,131.489
